journal,publisher,impact_factor,issn,url
European child & adolescent psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/18080171
Molecular autism,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/34034808
Proceedings of the National Academy of Sciences of the United States of America,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/25313065
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/23782126
Fundamental & clinical pharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/26751259
The International journal of neuroscience,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/21950578
"Med (New York, N.Y.)",Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/38917793
Pediatric neurology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/38232652
Nature medicine,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/37291210
Contemporary clinical trials,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/35149233
Pediatric neurology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/32660869
Neurology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/30918097
Journal of clinical psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/19745651
Journal of clinical psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/16702908
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/16190799
The Journal of neuropsychiatry and clinical neurosciences,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/15746480
Nutrients,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/32121236
The Journal of steroid biochemistry and molecular biology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/30744880
Journal of autism and developmental disorders,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/30607782
Trials,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/27334138
Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/27468024
The international journal of neuropsychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/26819282
European journal of clinical pharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/26514968
Progress in neuro-psychopharmacology & biological psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/26361994
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/25514543
Pharmacopsychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/24307207
Pharmacopsychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/21993867
Pharmacopsychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/19067260
The British journal of psychiatry : the journal of mental science,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/17470962
Psychiatry research,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/17360162
BMC geriatrics,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/36434519
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/31375874
Zhonghua nan ke xue = National journal of andrology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/25597173
The Journal of clinical endocrinology and metabolism,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/23043189
Nan fang yi ke da xue xue bao = Journal of Southern Medical University,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/22985580
Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/16045018
Science translational medicine,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/31043522
Clinical neuropharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/31725473
Clinical neuropharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/32168067
Clinical neuropharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/32947424
BMC pediatrics,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/40170032
BMC psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/40133861
Autism research : official journal of the International Society for Autism Research,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/39989401
Journal of developmental and behavioral pediatrics : JDBP,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/39960783
